Número de Paciente,DNI,Nombre del Paciente,Edad,Tipo de Paciente,Fecha de Cita,Cobertura Médica,Médico,Especialidad,Tipo de Consulta,Costo de la Consulta,Método de Pago,Diagnóstico Principal,Código CIE-10,Tratamiento,Sucursal,Barrio,Año de cita ,Fecha de Cita,Mes de cita,tipo tratamiento numerico
1001,23456789,Mateo Gómez,8,Pediátrico,20/7/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Vitaminas,Centro,Villa Devoto,2025,20/7/2025,Julio,1
1002,12345678,Sofía Ramirez,54,Adulto,21/7/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Tarjeta,Hipertensión,I10,Medicacón,Norte,Palermo,2025,21/7/2025,Julio,1
1003,34567890,Diego Torres,32,Adulto,21/7/2025,Particular, Laura Díaz,Dermatología,Emergencia,6000,Efectivo,Erupción,L29.9,Crema tópica,Sur,Belgrano,2025,21/7/2025,Julio,2
1004,12345678,Sofía Ramirez,54,Adulto,22/7/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Seguro Médico,Chequeo General,Z00.0,Ninguno,Norte,Palermo,2025,22/7/2025,Julio,4
1005,23456789,Mateo Gómez,8,Pediátrico,22/7/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Tarjeta,Vacunación,Z28.3,Vacuna,Centro,Villa Devoto,2025,22/7/2025,Julio,3
1006,45678901,Julieta Paz,25,Adulto,23/7/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Seguro Médico,Acné,L70.9,Medicacón,Sur,Belgrano,2025,23/7/2025,Julio,1
1007,56789012,Andrés Castro,48,Adulto,24/7/2025,OSDE, Carlos Ruíz,Clínica General,Rutina,6500,Efectivo,Gripe,J11.1,Analgésicos,Centro,Centro,2025,24/7/2025,Julio,1
1008,67890123,Laura Pérez,35,Adulto,25/7/2025,Swiss Medical, Sofía Torres,Odontología,Emergencia,9000,Tarjeta,Dolor de muela,K08.8,Anestesia,Norte,Palermo,2025,25/7/2025,Julio,2
1009,78901234,Gabriel Sosa,62,Adulto,26/7/2025,Particular, Carlos Ruíz,Clínica General,Control,6500,Efectivo,Fiebre,R50.9,Antipiréticos,Centro,Centro,2025,26/7/2025,Julio,1
1010,89012345,Luciana Vidal,38,Adulto,27/7/2025,OSDE, Diego Luna,Neurología,Rutina,10000,Seguro Médico,Dolor de cabeza,R51,Analgésicos,Sur,Belgrano,2025,27/7/2025,Julio,1
